H spec 1 wave,H spec 1 intensity,H spec 2 wave,H spec 2 intensity,H spec 3 wave,H spec 3 intensity,H average intensity
655.025,14.15,655.025,-6,655.025,-15.69,-2.513333333
655.039,6.15,655.039,-12,655.039,-8.69,-4.846666667
655.054,-13.85,655.054,-13,655.054,8.31,-6.18
655.068,-17.85,655.068,-8,655.068,12.31,-4.513333333
655.083,8.15,655.083,0,655.083,7.31,5.153333333
655.097,-4.85,655.097,-1,655.097,10.31,1.486666667
655.112,-1.85,655.112,-8,655.112,-13.69,-7.846666667
655.126,9.15,655.126,-11,655.126,-7.69,-3.18
655.141,4.15,655.141,0,655.141,7.31,3.82
655.156,1.15,655.156,1,655.156,10.31,4.153333333
655.17,-13.85,655.17,-16,655.17,-0.69,-10.18
655.185,-6.85,655.185,1,655.185,0.31,-1.846666667
655.199,3.15,655.199,17,655.199,8.31,9.486666667
655.214,11.15,655.214,23,655.214,6.31,13.48666667
655.228,15.15,655.228,5,655.228,11.31,10.48666667
655.243,-10.85,655.243,1,655.243,7.31,-0.8466666667
655.257,-7.85,655.257,9,655.257,6.31,2.486666667
655.272,-3.85,655.272,-2,655.272,7.31,0.4866666667
655.286,-15.85,655.286,-9,655.286,1.31,-7.846666667
655.301,-19.85,655.301,-12,655.301,-1.69,-11.18
655.315,-3.85,655.315,-11,655.315,4.31,-3.513333333
655.33,7.15,655.33,6,655.33,-4.69,2.82
655.344,0.15,655.344,10,655.344,12.31,7.486666667
655.359,7.15,655.359,5,655.359,3.31,5.153333333
655.373,4.15,655.373,-2,655.373,-6.69,-1.513333333
655.388,-10.85,655.388,-2,655.388,-8.69,-7.18
655.402,3.15,655.402,12,655.402,20.31,11.82
655.417,10.15,655.417,27,655.417,16.31,17.82
655.431,-2.85,655.431,22,655.431,-0.69,6.153333333
655.446,18.15,655.446,29,655.446,11.31,19.48666667
655.46,11.15,655.46,-7,655.46,-4.69,-0.18
655.475,16.15,655.475,8,655.475,4.31,9.486666667
655.489,8.15,655.489,16,655.489,12.31,12.15333333
655.504,13.15,655.504,15,655.504,19.31,15.82
655.518,26.15,655.518,7,655.518,-0.69,10.82
655.532,11.15,655.532,11,655.532,9.31,10.48666667
655.547,23.15,655.547,23,655.547,25.31,23.82
655.561,26.15,655.561,47,655.561,27.31,33.48666667
655.576,13.15,655.576,25,655.576,15.31,17.82
655.59,9.15,655.59,26,655.59,8.31,14.48666667
655.605,4.15,655.605,18,655.605,5.31,9.153333333
655.619,23.15,655.619,36,655.619,25.31,28.15333333
655.634,49.15,655.634,54,655.634,58.31,53.82
655.648,58.15,655.648,69,655.648,50.31,59.15333333
655.663,21.15,655.663,61,655.663,29.31,37.15333333
655.677,24.15,655.677,35,655.677,20.31,26.48666667
655.691,35.15,655.691,44,655.691,45.31,41.48666667
655.706,56.15,655.706,44,655.706,54.31,51.48666667
655.72,59.15,655.72,56,655.72,62.31,59.15333333
655.735,80.15,655.735,75,655.735,101.31,85.48666667
655.749,201.15,655.749,246,655.749,222.31,223.1533333
655.764,664.15,655.764,770,655.764,793.31,742.4866667
655.778,1828.15,655.778,2065,655.778,2159.31,2017.486667
655.792,3568.15,655.792,3994,655.792,4200.31,3920.82
655.807,4816.15,655.807,5356,655.807,5688.31,5286.82
655.821,4694.15,655.821,5089,655.821,5418.31,5067.153333
655.836,3507.15,655.836,3829,655.836,3991.31,3775.82
655.85,2450.15,655.85,2722,655.85,2840.31,2670.82
655.865,1903.15,655.865,2057,655.865,2165.31,2041.82
655.879,1530.15,655.879,1652,655.879,1716.31,1632.82
655.893,1160.15,655.893,1297,655.893,1328.31,1261.82
655.908,790.15,655.908,867,655.908,909.31,855.4866667
655.922,492.15,655.922,546,655.922,565.31,534.4866667
655.937,309.15,655.937,358,655.937,343.31,336.82
655.951,193.15,655.951,196,655.951,200.31,196.4866667
655.965,106.15,655.965,119,655.965,113.31,112.82
655.98,64.15,655.98,83,655.98,76.31,74.48666667
655.994,58.15,655.994,59,655.994,78.31,65.15333333
656.009,44.15,656.009,30,656.009,46.31,40.15333333
656.023,49.15,656.023,36,656.023,55.31,46.82
656.037,34.15,656.037,34,656.037,21.31,29.82
656.052,28.15,656.052,9,656.052,8.31,15.15333333
656.066,5.15,656.066,7,656.066,-1.69,3.486666667
656.08,-5.85,656.08,8,656.08,-5.69,-1.18
656.095,11.15,656.095,14,656.095,12.31,12.48666667
656.109,3.15,656.109,6,656.109,9.31,6.153333333
656.124,-0.85,656.124,5,656.124,6.31,3.486666667
656.138,12.15,656.138,13,656.138,19.31,14.82
656.152,15.15,656.152,2,656.152,17.31,11.48666667
656.167,15.15,656.167,17,656.167,27.31,19.82
656.181,23.15,656.181,21,656.181,16.31,20.15333333
656.195,16.15,656.195,12,656.195,25.31,17.82
656.21,16.15,656.21,3,656.21,15.31,11.48666667
656.224,12.15,656.224,3,656.224,13.31,9.486666667
656.238,28.15,656.238,4,656.238,12.31,14.82
656.253,24.15,656.253,23,656.253,26.31,24.48666667
656.267,27.15,656.267,14,656.267,18.31,19.82
656.281,9.15,656.281,2,656.281,-0.69,3.486666667
656.296,17.15,656.296,-1,656.296,-0.69,5.153333333
656.31,19.15,656.31,18,656.31,15.31,17.48666667
656.324,21.15,656.324,27,656.324,18.31,22.15333333
656.339,18.15,656.339,34,656.339,21.31,24.48666667
656.353,1.15,656.353,5,656.353,0.31,2.153333333
656.367,17.15,656.367,5,656.367,16.31,12.82
656.382,2.15,656.382,6,656.382,8.31,5.486666667
656.396,0.15,656.396,-2,656.396,-4.69,-2.18
656.41,-4.85,656.41,-1,656.41,-13.69,-6.513333333
656.425,-2.85,656.425,6,656.425,-4.69,-0.5133333333
656.439,-0.85,656.439,-20,656.439,-4.69,-8.513333333
656.453,1.15,656.453,-3,656.453,-8.69,-3.513333333
656.468,4.15,656.468,0,656.468,-3.69,0.1533333333
656.482,11.15,656.482,-1,656.482,4.31,4.82
656.496,-7.85,656.496,2,656.496,-8.69,-4.846666667
656.51,-4.85,656.51,2,656.51,0.31,-0.8466666667
656.525,-2.85,656.525,2,656.525,11.31,3.486666667
656.539,-3.85,656.539,2,656.539,7.31,1.82
656.553,-6.85,656.553,-3,656.553,-11.69,-7.18
656.568,0.15,656.568,-2,656.568,-7.69,-3.18
656.582,5.15,656.582,-9,656.582,6.31,0.82
656.596,1.15,656.596,4,656.596,9.31,4.82
656.611,2.15,656.611,-7,656.611,-1.69,-2.18
656.625,-1.85,656.625,-6,656.625,3.31,-1.513333333
656.639,10.15,656.639,10,656.639,4.31,8.153333333
656.653,12.15,656.653,14,656.653,-5.69,6.82
656.668,-2.85,656.668,-4,656.668,-2.69,-3.18
656.682,-5.85,656.682,-10,656.682,-6.69,-7.513333333
656.696,8.15,656.696,7,656.696,4.31,6.486666667
656.71,1.15,656.71,9,656.71,-7.69,0.82
656.725,12.15,656.725,17,656.725,14.31,14.48666667
656.739,23.15,656.739,8,656.739,9.31,13.48666667
656.753,31.15,656.753,9,656.753,10.31,16.82
656.767,14.15,656.767,9,656.767,5.31,9.486666667
656.782,17.15,656.782,2,656.782,13.31,10.82
656.796,28.15,656.796,16,656.796,13.31,19.15333333
656.81,41.15,656.81,29,656.81,34.31,34.82
656.824,7.15,656.824,-16,656.824,-0.69,-3.18
656.839,-0.85,656.839,12,656.839,3.31,4.82
656.853,20.15,656.853,2,656.853,0.31,7.486666667
656.867,8.15,656.867,-3,656.867,-9.69,-1.513333333
656.881,-3.85,656.881,11,656.881,2.31,3.153333333
656.896,-7.85,656.896,2,656.896,0.31,-1.846666667
656.91,5.15,656.91,-3,656.91,1.31,1.153333333
656.924,4.15,656.924,-3,656.924,0.31,0.4866666667
656.938,7.15,656.938,-13,656.938,1.31,-1.513333333
656.953,9.15,656.953,11,656.953,7.31,9.153333333
656.967,16.15,656.967,14,656.967,16.31,15.48666667
656.981,24.15,656.981,14,656.981,14.31,17.48666667
656.995,12.15,656.995,1,656.995,6.31,6.486666667
